,Array,Platform,Node,Instrument,RefDes,Asset ID,Serial Number,deployment,gitHub changeDate,OOI changeDate,file,URL,changeType,dateRangeStart,dateRangeEnd,annotation
0,Coastal Pioneer,CP01CNSM,RID27,CTD Pumped: CTDBP Series C,CP01CNSM-RID27-03-CTDBPC000,CGINS-CTDBPC-06841,16-6841,2,,2019-08-23 21:05:05.868,CGINS-CTDBPC-06841__20110518.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/CTDBPC/CGINS-CTDBPC-06841__20110518.csv,No errors found,2014-12-13 18:47:00,2014-12-15 20:58:00,
1,Coastal Pioneer,CP01CNSM,RID27,CTD Pumped: CTDBP Series C,CP01CNSM-RID27-03-CTDBPC000,CGINS-CTDBPC-06841,16-6841,3,,2019-08-23 21:05:05.868,CGINS-CTDBPC-06841__20110518.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/CTDBPC/CGINS-CTDBPC-06841__20110518.csv,No errors found,2015-05-07 17:34:00,2015-10-23 19:40:00,
2,Coastal Pioneer,CP01CNSM,RID27,CTD Pumped: CTDBP Series C,CP01CNSM-RID27-03-CTDBPC000,CGINS-CTDBPC-06841,16-6841,5,,2019-08-23 21:05:26.254,CGINS-CTDBPC-06841__20151215.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/CTDBPC/CGINS-CTDBPC-06841__20151215.csv,No errors found,2016-05-13 13:50:00,2016-10-13 19:34:00,
3,Coastal Pioneer,CP03ISSM,RID27,CTD Pumped: CTDBP Series C,CP03ISSM-RID27-03-CTDBPC000,CGINS-CTDBPC-06841,16-6841,6,,2019-08-23 21:04:29.817,CGINS-CTDBPC-06841__20161214.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/CTDBPC/CGINS-CTDBPC-06841__20161214.csv,No errors found,2017-06-15 13:43:00,2017-11-01 14:17:00,
4,Coastal Pioneer,CP03ISSM,RID27,CTD Pumped: CTDBP Series C,CP03ISSM-RID27-03-CTDBPC000,CGINS-CTDBPC-06841,16-6841,9,,2019-08-23 21:04:32.726,CGINS-CTDBPC-06841__20171230.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/CTDBPC/CGINS-CTDBPC-06841__20171230.csv,No errors found,2018-10-29 03:43:00,2019-04-06 18:51:00,
0,Coastal Pioneer,CP01CNSM,RID27,CTD Pumped: CTDBP Series C,CP01CNSM-RID27-03-CTDBPC000,CGINS-CTDBPC-07208,16-7208,1,,2019-08-23 21:05:38.236,CGINS-CTDBPC-07208__20121025.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/CTDBPC/CGINS-CTDBPC-07208__20121025.csv,No errors found,2013-11-21 18:15:00,2014-04-18 00:00:00,
1,Coastal Pioneer,CP04OSSM,RID27,CTD Pumped: CTDBP Series C,CP04OSSM-RID27-03-CTDBPC000,CGINS-CTDBPC-07208,16-7208,2,,2019-08-23 21:04:28.349,CGINS-CTDBPC-07208__20150219.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/CTDBPC/CGINS-CTDBPC-07208__20150219.csv,No errors found,2015-05-09 01:04:00,2015-10-23 00:00:00,
2,Coastal Pioneer,CP03ISSM,RID27,CTD Pumped: CTDBP Series C,CP03ISSM-RID27-03-CTDBPC000,CGINS-CTDBPC-07208,16-7208,4,,2019-08-23 21:07:05.864,CGINS-CTDBPC-07208__20151212.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/CTDBPC/CGINS-CTDBPC-07208__20151212.csv,No errors found,2016-05-28 14:43:00,2016-10-15 12:14:00,
3,Coastal Pioneer,CP01CNSM,RID27,CTD Pumped: CTDBP Series C,CP01CNSM-RID27-03-CTDBPC000,CGINS-CTDBPC-07208,16-7208,8,,2019-08-23 21:04:24.533,CGINS-CTDBPC-07208__20170613.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/CTDBPC/CGINS-CTDBPC-07208__20170613.csv,No errors found,2017-10-29 14:15:00,2018-03-29 19:37:00,
4,Coastal Pioneer,CP04OSSM,RID27,CTD Pumped: CTDBP Series C,CP04OSSM-RID27-03-CTDBPC000,CGINS-CTDBPC-07208,16-7208,9,,2019-08-23 21:06:57.894,CGINS-CTDBPC-07208__20180530.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/CTDBPC/CGINS-CTDBPC-07208__20180530.csv,No errors found,2018-10-25 15:31:00,2019-02-04 12:30:00,
